emotion_type	intensity	timestamp	participant_id
surprise	0.299	7.6000000000000005	participant_5
sadness	0.743	7.7	participant_6
sadness	0.682	7.800000000000001	participant_7
fear	0.645	7.9	participant_8
joy	0.548	8.0	participant_9
sadness	0.262	8.1	participant_10
sadness	0.466	8.200000000000001	participant_11
surprise	0.269	8.3	participant_12
joy	0.857	8.4	participant_1
sadness	0.451	8.5	participant_2
sadness	0.142	8.6	participant_3
sadness	0.428	8.700000000000001	participant_4
sadness	0.588	8.8	participant_5
surprise	0.266	8.9	participant_6
joy	0.049	9.0	participant_7
surprise	0.810	9.1	participant_8
fear	0.154	9.200000000000001	participant_9
surprise	0.451	9.3	participant_10
anger	0.548	9.4	participant_11
surprise	0.240	9.5	participant_12
sadness	0.413	9.600000000000001	participant_1
anger	0.909	9.700000000000001	participant_2
fear	0.840	9.8	participant_3
surprise	0.703	9.9	participant_4
sadness	0.350	10.0	participant_5
joy	0.474	10.100000000000001	participant_6
joy	0.916	10.200000000000001	participant_7
fear	0.885	10.3	participant_8
surprise	0.856	10.4	participant_9
anger	0.435	10.5	participant_10
surprise	0.133	10.600000000000001	participant_11
fear	0.465	10.700000000000001	participant_12
sadness	0.823	10.8	participant_1
fear	0.368	10.9	participant_2
surprise	0.592	11.0	participant_3
fear	0.550	11.100000000000001	participant_4
sadness	0.837	11.200000000000001	participant_5
anger	0.860	11.3	participant_6
fear	0.455	11.4	participant_7
sadness	0.353	11.5	participant_8
joy	0.643	11.600000000000001	participant_9
anger	0.830	11.700000000000001	participant_10
surprise	0.551	11.8	participant_11
sadness	0.213	11.9	participant_12
joy	0.343	12.0	participant_1
anger	0.434	12.100000000000001	participant_2
surprise	0.487	12.200000000000001	participant_3
joy	0.743	12.3	participant_4
sadness	0.473	12.4	participant_5
fear	0.388	12.5	participant_6
joy	0.469	12.600000000000001	participant_7
surprise	0.253	12.700000000000001	participant_8
sadness	0.746	12.8	participant_9
fear	0.436	12.9	participant_10
anger	0.381	13.0	participant_11
surprise	0.410	13.100000000000001	participant_12
joy	0.648	13.200000000000001	participant_1
fear	0.586	13.3	participant_2
fear	0.793	13.4	participant_3
fear	0.746	13.5	participant_4
fear	0.444	13.600000000000001	participant_5
anger	0.328	13.700000000000001	participant_6
sadness	0.574	13.8	participant_7
sadness	0.579	13.9	participant_8
joy	0.164	14.0	participant_9
fear	0.240	14.100000000000001	participant_10
surprise	0.335	14.200000000000001	participant_11
anger	0.312	14.3	participant_12
sadness	0.781	14.4	participant_1
joy	0.674	14.5	participant_2
fear	0.636	14.600000000000001	participant_3
joy	0.634	14.700000000000001	participant_4
fear	0.488	14.8	participant_5
surprise	0.636	14.9	participant_6
fear	0.086	15.0	participant_7
joy	0.350	15.100000000000001	participant_8
surprise	0.510	15.200000000000001	participant_9
surprise	0.761	15.3	participant_10
anger	0.094	15.4	participant_11
anger	0.607	15.5	participant_12
surprise	0.634	15.600000000000001	participant_1
fear	0.803	15.700000000000001	participant_2
sadness	0.060	15.8	participant_3
fear	0.516	15.9	participant_4
surprise	0.672	16.0	participant_5
surprise	0.690	16.1	participant_6
sadness	0.447	16.2	participant_7
anger	0.143	16.3	participant_8
surprise	0.585	16.400000000000002	participant_9
sadness	0.605	16.5	participant_10
joy	0.623	16.6	participant_11
sadness	0.694	16.7	participant_12
anger	0.594	16.8	participant_1
fear	0.184	16.900000000000002	participant_2
joy	0.552	17.0	participant_3
fear	0.687	17.1	participant_4
fear	0.920	17.2	participant_5
surprise	0.412	17.3	participant_6
sadness	0.596	17.400000000000002	participant_7
sadness	0.383	17.5	participant_8
fear	0.376	17.6	participant_9
anger	0.166	17.7	participant_10
fear	0.202	17.8	participant_11
sadness	0.252	17.900000000000002	participant_12
sadness	0.328	18.0	participant_1
anger	0.142	18.1	participant_2
fear	0.503	18.2	participant_3
sadness	0.504	18.3	participant_4
fear	0.808	18.400000000000002	participant_5
fear	0.301	18.5	participant_6
sadness	0.880	18.6	participant_7
surprise	0.835	18.7	participant_8
surprise	0.309	18.8	participant_9
surprise	0.550	18.900000000000002	participant_10
fear	0.169	19.0	participant_11
anger	0.707	19.1	participant_12
sadness	0.783	19.200000000000003	participant_1
joy	0.650	19.3	participant_2
joy	0.515	19.400000000000002	participant_3
surprise	0.443	19.5	participant_4
anger	0.132	19.6	participant_5
fear	0.438	19.700000000000003	participant_6
joy	0.598	19.8	participant_7
surprise	0.772	19.900000000000002	participant_8
